ID_client;cluster;ID_sector;Date;order_n
02215-001;D;109;2023-01-02;202301021
02215-015;D;109;2023-01-02;202301022
02215-022;C;109;2023-01-02;202301023
02215-029;B;109;2023-01-02;202301024
02215-036;C;109;2023-01-02;202301025
02215-050;D;109;2023-01-02;202301026
02215-057;D;109;2023-01-02;202301027
02215-064;C;109;2023-01-02;202301028
02215-071;C;109;2023-01-02;202301029
04101-042;D;107;2023-01-02;2023010210
04101-062;C;107;2023-01-02;2023010211
10001-008;B;201;2023-01-02;2023010212
10001-015;C;201;2023-01-02;2023010213
10001-022;C;201;2023-01-02;2023010214
10001-029;C;201;2023-01-02;2023010215
10001-036;B;201;2023-01-02;2023010216
10001-043;C;201;2023-01-02;2023010217
10001-050;C;201;2023-01-02;2023010218
10001-057;B;201;2023-01-02;2023010219
30301-001;D;205;2023-01-02;2023010220
30301-015;C;205;2023-01-02;2023010221
30301-022;D;205;2023-01-02;2023010222
30301-029;D;205;2023-01-02;2023010223
30301-036;C;205;2023-01-02;2023010224
30301-043;C;205;2023-01-02;2023010225
30301-050;B;205;2023-01-02;2023010226
30301-057;D;205;2023-01-02;2023010227
30301-064;C;205;2023-01-02;2023010228
30301-071;C;205;2023-01-02;2023010229
30301-078;D;205;2023-01-02;2023010230
73301-001;D;202;2023-01-02;2023010231
73301-008;D;202;2023-01-02;2023010232
73301-015;C;202;2023-01-02;2023010233
73301-022;B;202;2023-01-02;2023010234
73301-029;B;202;2023-01-02;2023010235
73301-036;C;202;2023-01-02;2023010236
73301-043;C;202;2023-01-02;2023010237
73301-050;D;202;2023-01-02;2023010238
73301-057;C;202;2023-01-02;2023010239
73301-064;D;202;2023-01-02;2023010240
73301-071;B;202;2023-01-02;2023010241
73301-078;D;202;2023-01-02;2023010242
75001-008;D;106;2023-01-02;2023010243
75001-022;D;106;2023-01-02;2023010244
75001-036;D;106;2023-01-02;2023010245
75001-043;B;106;2023-01-02;2023010246
75001-050;C;106;2023-01-02;2023010247
75001-057;D;106;2023-01-02;2023010248
75001-064;D;106;2023-01-02;2023010249
75001-071;C;106;2023-01-02;2023010250
75001-078;D;106;2023-01-02;2023010251
75001-085;C;106;2023-01-02;2023010252
75001-092;B;106;2023-01-02;2023010253
90001-001;D;203;2023-01-02;2023010254
90001-008;B;203;2023-01-02;2023010255
90001-015;A;203;2023-01-02;2023010256
90001-029;D;203;2023-01-02;2023010257
90001-036;C;203;2023-01-02;2023010258
90001-043;C;203;2023-01-02;2023010259
90001-050;D;203;2023-01-02;2023010260
90001-057;D;203;2023-01-02;2023010261
90001-064;C;203;2023-01-02;2023010262
94016-001;C;204;2023-01-02;2023010263
94016-008;D;204;2023-01-02;2023010264
94016-015;D;204;2023-01-02;2023010265
94016-022;D;204;2023-01-02;2023010266
94016-029;D;204;2023-01-02;2023010267
94016-043;D;204;2023-01-02;2023010268
94016-050;C;204;2023-01-02;2023010269
94016-057;D;204;2023-01-02;2023010270
94016-064;C;204;2023-01-02;2023010271
94016-071;C;204;2023-01-02;2023010272
97035-002;C;108;2023-01-02;2023010273
97035-010;B;108;2023-01-02;2023010274
97035-019;D;108;2023-01-02;2023010275
97035-028;C;108;2023-01-02;2023010276
97035-035;B;108;2023-01-02;2023010277
97035-045;C;108;2023-01-02;2023010278
97035-053;D;108;2023-01-02;2023010279
