ID_client;Date;order_n;ID_products;buy_packs
02215-015;2023-01-02;202301021;902005;75,0
02215-015;2023-01-02;202301021;901008;15,0
02215-015;2023-01-02;202301021;903018;15,0
02215-022;2023-01-02;202301022;905013;8,0
02215-029;2023-01-02;202301023;901001;72,0
02215-029;2023-01-02;202301023;901002;96,0
02215-029;2023-01-02;202301023;901003;40,0
02215-029;2023-01-02;202301023;902004;96,0
02215-029;2023-01-02;202301023;902006;60,0
02215-029;2023-01-02;202301023;902007;64,0
02215-029;2023-01-02;202301023;903009;20,0
02215-029;2023-01-02;202301023;904011;20,0
02215-029;2023-01-02;202301023;905013;8,0
02215-029;2023-01-02;202301023;905014;16,0
02215-029;2023-01-02;202301023;902015;96,0
02215-029;2023-01-02;202301023;903016;20,0
04101-043;2023-01-02;202301024;901002;96,0
04101-043;2023-01-02;202301024;902005;108,0
04101-043;2023-01-02;202301024;903009;36,0
10001-001;2023-01-02;202301025;901000;9,0
10001-001;2023-01-02;202301025;901003;30,0
10001-001;2023-01-02;202301025;902007;33,0
10001-001;2023-01-02;202301025;901008;6,0
10001-001;2023-01-02;202301025;903009;9,0
10001-001;2023-01-02;202301025;903016;6,0
10001-008;2023-01-02;202301026;901000;4,0
10001-008;2023-01-02;202301026;901001;72,0
10001-008;2023-01-02;202301026;901003;12,0
10001-008;2023-01-02;202301026;902004;100,0
10001-008;2023-01-02;202301026;902005;120,0
10001-008;2023-01-02;202301026;902006;52,0
10001-008;2023-01-02;202301026;902007;68,0
10001-008;2023-01-02;202301026;901008;20,0
10001-008;2023-01-02;202301026;903009;36,0
10001-008;2023-01-02;202301026;904010;12,0
10001-008;2023-01-02;202301026;904011;4,0
10001-008;2023-01-02;202301026;905013;16,0
10001-008;2023-01-02;202301026;905014;12,0
10001-008;2023-01-02;202301026;902015;112,0
10001-008;2023-01-02;202301026;903016;20,0
10001-008;2023-01-02;202301026;902017;272,0
10001-015;2023-01-02;202301027;901001;54,0
10001-015;2023-01-02;202301027;901002;72,0
10001-015;2023-01-02;202301027;902007;54,0
10001-015;2023-01-02;202301027;901008;9,0
10001-015;2023-01-02;202301027;903009;27,0
10001-015;2023-01-02;202301027;904010;12,0
10001-015;2023-01-02;202301027;905014;9,0
10001-015;2023-01-02;202301027;902015;63,0
10001-015;2023-01-02;202301027;903016;6,0
10001-015;2023-01-02;202301027;902017;204,0
10001-015;2023-01-02;202301027;903018;12,0
10001-022;2023-01-02;202301028;902006;28,0
10001-022;2023-01-02;202301028;904010;8,0
10001-022;2023-01-02;202301028;905013;8,0
10001-022;2023-01-02;202301028;902015;56,0
10001-022;2023-01-02;202301028;903016;4,0
10001-036;2023-01-02;202301029;901000;6,0
10001-036;2023-01-02;202301029;902005;54,0
10001-036;2023-01-02;202301029;902006;34,0
10001-036;2023-01-02;202301029;901008;6,0
10001-036;2023-01-02;202301029;904010;6,0
10001-036;2023-01-02;202301029;904011;8,0
10001-036;2023-01-02;202301029;902012;46,0
10001-036;2023-01-02;202301029;905013;8,0
10001-036;2023-01-02;202301029;905014;8,0
10001-036;2023-01-02;202301029;902015;54,0
10001-036;2023-01-02;202301029;903016;4,0
10001-036;2023-01-02;202301029;902017;136,0
10001-036;2023-01-02;202301029;903018;20,0
10001-043;2023-01-02;2023010210;901000;10,0
10001-043;2023-01-02;2023010210;901001;36,0
10001-043;2023-01-02;2023010210;901002;48,0
10001-043;2023-01-02;2023010210;901003;8,0
10001-043;2023-01-02;2023010210;902004;40,0
10001-043;2023-01-02;2023010210;902005;44,0
10001-043;2023-01-02;2023010210;902006;30,0
10001-043;2023-01-02;2023010210;902007;26,0
10001-043;2023-01-02;2023010210;901008;8,0
10001-043;2023-01-02;2023010210;903009;8,0
10001-043;2023-01-02;2023010210;904010;8,0
10001-043;2023-01-02;2023010210;904011;10,0
10001-043;2023-01-02;2023010210;902012;50,0
10001-043;2023-01-02;2023010210;905013;2,0
10001-043;2023-01-02;2023010210;905014;4,0
10001-043;2023-01-02;2023010210;902015;42,0
10001-043;2023-01-02;2023010210;903016;6,0
10001-043;2023-01-02;2023010210;902017;136,0
10001-043;2023-01-02;2023010210;903018;10,0
30301-001;2023-01-02;2023010211;901000;20,0
30301-001;2023-01-02;2023010211;901001;72,0
30301-001;2023-01-02;2023010211;901002;96,0
30301-001;2023-01-02;2023010211;902005;120,0
30301-001;2023-01-02;2023010211;902007;52,0
30301-001;2023-01-02;2023010211;901008;8,0
30301-001;2023-01-02;2023010211;903009;16,0
30301-001;2023-01-02;2023010211;904010;8,0
30301-001;2023-01-02;2023010211;904011;8,0
30301-001;2023-01-02;2023010211;905013;20,0
30301-001;2023-01-02;2023010211;905014;4,0
30301-001;2023-01-02;2023010211;902015;120,0
30301-001;2023-01-02;2023010211;903016;12,0
30301-001;2023-01-02;2023010211;902017;272,0
30301-001;2023-01-02;2023010211;903018;28,0
30301-008;2023-01-02;2023010212;901002;72,0
30301-008;2023-01-02;2023010212;902004;81,0
30301-008;2023-01-02;2023010212;902005;81,0
30301-008;2023-01-02;2023010212;902006;36,0
30301-008;2023-01-02;2023010212;902012;81,0
30301-008;2023-01-02;2023010212;905014;15,0
30301-008;2023-01-02;2023010212;902015;84,0
30301-008;2023-01-02;2023010212;903016;15,0
30301-015;2023-01-02;2023010213;903009;16,0
30301-015;2023-01-02;2023010213;904010;8,0
30301-015;2023-01-02;2023010213;902017;272,0
30301-015;2023-01-02;2023010213;903018;28,0
30301-022;2023-01-02;2023010214;902004;80,0
30301-022;2023-01-02;2023010214;902005;116,0
30301-022;2023-01-02;2023010214;901008;16,0
30301-022;2023-01-02;2023010214;904011;12,0
30301-022;2023-01-02;2023010214;905013;20,0
30301-022;2023-01-02;2023010214;905014;8,0
30301-022;2023-01-02;2023010214;902015;96,0
30301-022;2023-01-02;2023010214;902017;272,0
30301-022;2023-01-02;2023010214;903018;40,0
30301-029;2023-01-02;2023010215;901000;15,0
30301-029;2023-01-02;2023010215;901002;72,0
30301-029;2023-01-02;2023010215;902004;72,0
30301-029;2023-01-02;2023010215;902005;75,0
30301-029;2023-01-02;2023010215;902006;45,0
30301-029;2023-01-02;2023010215;903009;27,0
30301-029;2023-01-02;2023010215;904010;3,0
30301-029;2023-01-02;2023010215;904011;3,0
30301-029;2023-01-02;2023010215;902012;72,0
30301-029;2023-01-02;2023010215;905013;9,0
30301-029;2023-01-02;2023010215;905014;6,0
